district,population
BEYLA,248143
BOFFA,217743
BOKE,526569
CONAKRY,1729239
COYAH,407975
DABOLA,181413
DALABA,212443
DINGUIRAYE,202818
DUBREKA,200255
FARANAH,218780
FORECARIAH,418767
FRIA,142252
GUECKEDOU,801976
KANKAN,446082
KEROUANE,291859
KINDIA,552940
KISSIDOUGO,329839
KOUROUSSA,219639
LOLA,247806
MACENTA,553487
MALI,237519
NZEREKORE,445936
PITA,301014
SIGUIRI,483111
TELIMELE,294313
TOUGUE,181277
YOMOU,327652
BOMI,145557
BONG,423682
GBARPOLU,111770
GRAND_BASSA,260551
GRAND_CAPE_MOUNT,164466
GRAND_GEDEH,164629
GRAND_KRU,75021
LOFA,371662
MARGIBI,344143
MARYLAND,145228
MONTSERRADO,1174503
NIMBA,631097
RIVER_GEE,102026
RIVERCESS,88858
SINOE,124603
BO,582706
BOMBALI,504504
BONTHE,157694
KAILAHUN,404088
KAMBIA,305849
KENEMA,657056
KOINADUGU,325595
KONO,490092
MOYAMBA,324082
PORT_LOKO,559287
PUJEHUN,279316
TONKOLILI,439166
WESTERN,1128605
