country,district,latitude,longitude
Guinea,BEYLA,8.683333,-8.633333
Sierra Leone,BO,7.9552,-11.471
Guinea,BOFFA,10.180825,-14.039161
Guinea,BOKE,11.186467,-14.100133
Sierra Leone,BOMBALI,9.247584,-12.163272
Liberia,BOMI,6.756293,-10.845147
Liberia,BONG,6.829502,-9.367308
Sierra Leone,BONTHE,7.525703,-12.503992
Guinea,CONAKRY,9.641185,-13.578401
Guinea,COYAH,9.708636,-13.387612
Guinea,DABOLA,10.729781,-11.110785
Guinea,DALABA,10.686818,-12.24907
Guinea,DINGUIRAYE,11.289951,-10.715423
Guinea,DUBREKA,9.790735,-13.514774
Guinea,FARANAH,10.045102,-10.749247
Guinea,FORECARIAH,9.434471,-13.090435
Guinea,FRIA,10.367454,-13.584187
Liberia,GBARPOLU,7.495264,-10.08073
Liberia,GRAND BASSA,6.230845,-9.812493
Liberia,GRAND CAPE MOUNT,7.046776,-11.071176
Liberia,GRAND GEDEH,5.922208,-8.221298
Liberia,GRAND KRU,4.761386,-8.221298
Guinea,GUECKEDOU,8.564969,-10.131116
Sierra Leone,KAILAHUN,8.28022,-10.571809
Sierra Leone,KAMBIA,9.126166,-12.917652
Guinea,KANKAN,10.382789,-9.311828
Sierra Leone,KENEMA,7.863215,-11.195717
Guinea,KEROUANE,9.27026,-9.007367
Guinea,KINDIA,10.040672,-12.862989
Guinea,KISSIDOUGO,9.191454,-10.114318
Sierra Leone,KOINADUGU,9.530862,-11.524805
Sierra Leone,KONO,8.766329,-10.89031
Guinea,KOUROUSSA,10.648923,-9.885059
Liberia,LOFA,8.191118,-9.723267
Guinea,LOLA,7.802235,-8.533653
Guinea,MACENTA,8.538294,-9.472824
Guinea,MALI,12.074294,-12.297718
Liberia,MARGIBI,6.515187,-10.30489
Liberia,MARYLAND,4.725888,-7.74167
Liberia,MONTSERRADO,6.552581,-10.529611
Sierra Leone,MOYAMBA,8.162051,-12.435192
Guinea,N'ZEREKORE,7.747836,-8.82525
Liberia,NIMBA,6.842761,-8.660059
Guinea,PITA,11.057462,-12.397943
Sierra Leone,PORT LOKO,8.768689,-12.785352
Sierra Leone,PUJEHUN,7.356299,-11.721064
Liberia,RIVER GEE,5.260489,-7.87216
Liberia,RIVERCESS,5.902533,-9.456155
Guinea,SIGUIRI,11.414811,-9.17883
Liberia,SINOE,5.49871,-8.660059
Guinea,TELIMELE,10.908936,-13.029933
Sierra Leone,TONKOLILI,8.738942,-11.797961
Guinea,TOUGUE,11.446422,-11.664139
Sierra Leone,WESTERN,8.311498,-13.035694
Guinea,YOMOU,7.569628,-9.259157
